Name,LocalizedName,FileName,Enabled,HasEvenSpaceCharacters,isRTL,PrimaryFonts,SecondaryFonts,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,SortOrder,TestLanguage,TestExcludes,HelpshiftLanguageTagOverride,ForcedFontName,TermsOfServiceUrl,ParentsGuideUrl,PrivacyPolicyUrl,SelfHelpUrl,InviteUrl,PurchaseDisclaimerUrl,ThirdPartySoftwareUrl,DeleteAccountUrl
RU,Русский,localization/ru.csv,TRUE,,,RU,Latin,ru,,14,,,RU,,https://supercell.com/en/terms-of-service/ru/,https://www.supercell.com/en/parents/ru/,https://www.supercell.com/en/privacy-policy/ru/,https://ingame.support.supercell.com/mo-co/ru/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/ru,https://ingame.support.supercell.com/mo-co/ru/articles/gdpr-request-deletion-of-your-personal-data.html
TH,ไทย,localization/th.csv,TRUE,,,TH,Latin,th,,15,,,TH,,https://supercell.com/en/terms-of-service/th/,https://www.supercell.com/en/parents/th/,https://www.supercell.com/en/privacy-policy/th/,https://ingame.support.supercell.com/mo-co/en/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/th,https://ingame.support.supercell.com/mo-co/en/articles/gdpr-request-deletion-of-your-personal-data.html
TR,Türkçe,localization/tr.csv,TRUE,,,Latin,,tr,,16,,,TR,,https://supercell.com/en/terms-of-service/tr/,https://www.supercell.com/en/parents/tr/,https://www.supercell.com/en/privacy-policy/tr/,https://ingame.support.supercell.com/mo-co/tr/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/tr,https://ingame.support.supercell.com/mo-co/tr/articles/gdpr-request-deletion-of-your-personal-data.html
CN,简体中文,localization/cn.csv,TRUE,,,CN,Latin,zh-Hans,,17,,,CN,,https://supercell.com/en/terms-of-service/cn/,https://www.supercell.com/en/parents/cn/,https://www.supercell.com/en/privacy-policy/cn/,https://ingame.support.supercell.com/mo-co/zh_cn/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/cn,https://ingame.support.supercell.com/mo-co/zh_cn/articles/gdpr-request-deletion-of-your-personal-data.html
CNT,繁體中文,localization/tw.csv,TRUE,,,CNT,Latin,zh-Hant,,18,,,TW,,https://supercell.com/en/terms-of-service/tw/,https://www.supercell.com/en/parents/tw/,https://www.supercell.com/en/privacy-policy/tw/,https://ingame.support.supercell.com/mo-co/zh/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/tw,https://ingame.support.supercell.com/mo-co/zh/articles/gdpr-request-deletion-of-your-personal-data.html
,,,,,,,,,,,,,,,,,,,,,,
TEXT,Longest text,localization/texts.csv,FALSE,,,Latin,,,,1000,TRUE,,EN,,https://supercell.com/en/terms-of-service/,https://www.supercell.com/en/parents/,https://www.supercell.com/en/privacy-policy/,https://ingame.support.supercell.com/mo-co/en/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/en,https://ingame.support.supercell.com/mo-co/en/articles/gdpr-request-deletion-of-your-personal-data.html
WORD,Longest word,localization/texts.csv,FALSE,,,Latin,,,,1001,TRUE,,EN,,https://supercell.com/en/terms-of-service/,https://www.supercell.com/en/parents/,https://www.supercell.com/en/privacy-policy/,https://ingame.support.supercell.com/mo-co/en/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/en,https://ingame.support.supercell.com/mo-co/en/articles/gdpr-request-deletion-of-your-personal-data.html
DOUBLE,Double String,localization/texts.csv,FALSE,,,Latin,,,,1002,TRUE,,EN,,https://supercell.com/en/terms-of-service/,https://www.supercell.com/en/parents/,https://www.supercell.com/en/privacy-policy/,https://ingame.support.supercell.com/mo-co/en/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/en,https://ingame.support.supercell.com/mo-co/en/articles/gdpr-request-deletion-of-your-personal-data.html
EMPTY,Empty texts,localization/texts.csv,FALSE,,,Latin,,,,1003,TRUE,,EN,,https://supercell.com/en/terms-of-service/,https://www.supercell.com/en/parents/,https://www.supercell.com/en/privacy-policy/,https://ingame.support.supercell.com/mo-co/en/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/en,https://ingame.support.supercell.com/mo-co/en/articles/gdpr-request-deletion-of-your-personal-data.html
DOUBLEDOUBLE,Double Double String,localization/texts.csv,FALSE,,,Latin,,,,1004,TRUE,,EN,,https://supercell.com/en/terms-of-service/,https://www.supercell.com/en/parents/,https://www.supercell.com/en/privacy-policy/,https://ingame.support.supercell.com/mo-co/en/index.html,https://mo.co/?utm_source=game-invite-needed,,https://supercell.com/en/licenses/en,https://ingame.support.supercell.com/mo-co/en/articles/gdpr-request-deletion-of-your-personal-data.html
